epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,238.32,2.6822,4.05931,0.99222,0.28593,0.03186,0.03692,0.01978,2.60619,4.79075,0.98588,0.00759943,0.00759943,0.00759943
78,241.359,2.92413,4.25521,0.97584,0.37037,0.03629,0.05105,0.0183,2.29604,4.54799,0.96691,0.00769941,0.00769941,0.00769941
79,244.728,2.53939,4.20779,0.99798,0.37037,0.03629,0.05105,0.0183,2.29604,4.54799,0.96691,0.0077994,0.0077994,0.0077994
80,247.824,2.38591,4.1709,0.9982,0.37037,0.03629,0.05105,0.0183,2.29604,4.54799,0.96691,0.00789938,0.00789938,0.00789938
81,251.504,2.74848,4.16357,1.00321,0.0326,0.13395,0.07061,0.02141,2.75429,4.50665,1.02103,0.00799937,0.00799937,0.00799937
82,254.765,2.61914,3.96526,0.99421,0.0326,0.13395,0.07061,0.02141,2.75429,4.50665,1.02103,0.00809935,0.00809935,0.00809935
83,257.524,2.54936,3.84713,0.97766,0.0326,0.13395,0.07061,0.02141,2.75429,4.50665,1.02103,0.00819933,0.00819933,0.00819933
84,260.76,2.54277,4.11221,0.98233,0.03344,0.12901,0.0559,0.0272,2.59695,4.47374,0.95451,0.00829932,0.00829932,0.00829932
85,263.9,2.70953,4.04365,1.02961,0.03344,0.12901,0.0559,0.0272,2.59695,4.47374,0.95451,0.0083993,0.0083993,0.0083993
86,267.605,2.98299,3.991,1.01422,0.03344,0.12901,0.0559,0.0272,2.59695,4.47374,0.95451,0.00849928,0.00849928,0.00849928
87,271.195,3.08118,4.04221,1.01583,0.03344,0.12901,0.0559,0.0272,2.59695,4.47374,0.95451,0.00859927,0.00859927,0.00859927
88,274.966,2.93821,4.08746,1.00477,0.36473,0.0346,0.04123,0.01966,2.73476,4.2551,0.97649,0.00869925,0.00869925,0.00869925
89,278.096,3.15468,4.0505,1.02363,0.36473,0.0346,0.04123,0.01966,2.73476,4.2551,0.97649,0.00879923,0.00879923,0.00879923
90,281.166,3.07248,3.89877,1.01306,0.36473,0.0346,0.04123,0.01966,2.73476,4.2551,0.97649,0.00889922,0.00889922,0.00889922
91,283.996,3.072,3.91322,1.02795,0.36473,0.0346,0.04123,0.01966,2.73476,4.2551,0.97649,0.0089992,0.0089992,0.0089992
92,287.359,3.00307,3.8253,1.01039,0.03011,0.22593,0.09412,0.04476,2.49111,4.19746,1.00055,0.00909918,0.00909918,0.00909918
93,290.742,2.39377,3.70154,0.97888,0.03011,0.22593,0.09412,0.04476,2.49111,4.19746,1.00055,0.00919916,0.00919916,0.00919916
94,294.176,3.02279,3.90744,1.02119,0.03011,0.22593,0.09412,0.04476,2.49111,4.19746,1.00055,0.00929914,0.00929914,0.00929914
95,297.713,2.6839,3.73254,1.01968,0.03011,0.22593,0.09412,0.04476,2.49111,4.19746,1.00055,0.00939913,0.00939913,0.00939913
96,301.643,2.62936,3.71864,0.99993,0.02195,0.16914,0.10049,0.0376,2.79237,4.18817,1.01891,0.00949911,0.00949911,0.00949911
97,305.306,2.75777,3.82729,0.99948,0.02195,0.16914,0.10049,0.0376,2.79237,4.18817,1.01891,0.00959909,0.00959909,0.00959909
98,308.769,2.76572,3.8009,0.99152,0.02195,0.16914,0.10049,0.0376,2.79237,4.18817,1.01891,0.00969907,0.00969907,0.00969907
99,313.368,2.90994,3.81615,1.012,0.02195,0.16914,0.10049,0.0376,2.79237,4.18817,1.01891,0.00979905,0.00979905,0.00979905
100,317.567,2.81161,3.61282,0.996,0.17434,0.14501,0.10951,0.05569,2.88821,4.20666,1.16227,0.00989903,0.00989903,0.00989903
101,324.309,3.16868,3.56951,1.12258,0.17434,0.14501,0.10951,0.05569,2.88821,4.20666,1.16227,0.00999901,0.00999901,0.00999901
102,331.177,2.91029,3.67391,1.12167,0.17434,0.14501,0.10951,0.05569,2.88821,4.20666,1.16227,0.009999,0.009999,0.009999
103,338.942,2.85593,3.78379,1.10984,0.17434,0.14501,0.10951,0.05569,2.88821,4.20666,1.16227,0.00999899,0.00999899,0.00999899
104,345.865,2.88858,3.59311,1.09838,0.06527,0.23519,0.11701,0.04609,2.6528,4.18777,0.99171,0.00999898,0.00999898,0.00999898
